Ratio Hole A,Ratio Neighbors,Ratio Outer Holes,Total
0.0,0.46875,0.53125,32
0.0,0.45161290322580644,0.5483870967741935,31
0.05357142857142857,0.35714285714285715,0.5892857142857143,56
0.0,0.358974358974359,0.6410256410256411,39
0.030303030303030304,0.3484848484848485,0.6212121212121212,66
0.03225806451612903,0.4032258064516129,0.5645161290322581,62
0.0,0.6666666666666666,0.3333333333333333,6
0.041666666666666664,0.4583333333333333,0.5,24
0.14285714285714285,0.14285714285714285,0.7142857142857143,7
0.07142857142857142,0.5,0.42857142857142855,14
0.0,0.21052631578947367,0.7894736842105263,19
0.041666666666666664,0.4166666666666667,0.5416666666666666,24
0.10638297872340426,0.44680851063829785,0.44680851063829785,47
0.058823529411764705,0.3235294117647059,0.6176470588235294,34
0.0,0.16666666666666666,0.8333333333333334,6
nan,nan,nan,nan
0.0,0.5,0.5,4
0.0,0.24242424242424243,0.7575757575757576,33
0.0,0.375,0.625,8
0.075,0.425,0.5,40
0.02631578947368421,0.3157894736842105,0.6578947368421053,38
0.0,0.23076923076923078,0.7692307692307693,13
0.03333333333333333,0.26666666666666666,0.7,30
0.06896551724137931,0.3793103448275862,0.5517241379310345,29
0.015151515151515152,0.4393939393939394,0.5454545454545454,66
0.15,0.4,0.45,20
0.02702702702702703,0.43243243243243246,0.5405405405405406,37
nan,nan,nan,nan
0.0,0.5,0.5,2
0.0,0.35714285714285715,0.6428571428571429,14
nan,nan,nan,nan
0.0,0.5625,0.4375,16
0.034482758620689655,0.4482758620689655,0.5172413793103449,29
0.0,0.25,0.75,4
0.0,0.23529411764705882,0.7647058823529411,17
0.07692307692307693,0.3333333333333333,0.5897435897435898,39
0.0,0.42424242424242425,0.5757575757575758,33
0.047619047619047616,0.3333333333333333,0.6190476190476191,21
nan,nan,nan,nan
0.043478260869565216,0.41304347826086957,0.5434782608695652,46
0.058823529411764705,0.29411764705882354,0.6470588235294118,17
0.16,0.24,0.6,25
0.0,0.38461538461538464,0.6153846153846154,13
0.025,0.425,0.55,40
nan,nan,nan,nan
0.0,0.6666666666666666,0.3333333333333333,6
0.0,0.3,0.7,30
0.049019607843137254,0.3333333333333333,0.6176470588235294,102
0.0,0.0,1.0,1
0.012345679012345678,0.49382716049382713,0.49382716049382713,81
0.1,0.6,0.3,10
0.013157894736842105,0.35526315789473684,0.631578947368421,76
nan,nan,nan,nan
0.0,0.25,0.75,12
0.06896551724137931,0.1724137931034483,0.7586206896551724,29
0.0,0.08333333333333333,0.9166666666666666,12
0.0,0.2,0.8,5
0.041666666666666664,0.20833333333333334,0.75,24
0.0,0.2777777777777778,0.7222222222222222,18
0.037037037037037035,0.1111111111111111,0.8518518518518519,27
0.16666666666666666,0.3333333333333333,0.5,6
0.11764705882352941,0.4117647058823529,0.47058823529411764,17
0.0,0.5,0.5,2
0.025974025974025976,0.4025974025974026,0.5714285714285714,77
0.0,0.47058823529411764,0.5294117647058824,34
nan,nan,nan,nan
0.041666666666666664,0.4583333333333333,0.5,24
0.14285714285714285,0.2857142857142857,0.5714285714285714,14
nan,nan,nan,nan
nan,nan,nan,nan
0.1,0.4,0.5,20
0.0,0.5454545454545454,0.45454545454545453,11
0.0,0.125,0.875,8
nan,nan,nan,nan
0.3333333333333333,0.3333333333333333,0.3333333333333333,3
0.10810810810810811,0.35135135135135137,0.5405405405405406,37
0.0,0.48,0.52,25
0.09090909090909091,0.3181818181818182,0.5909090909090909,22
0.15789473684210525,0.15789473684210525,0.6842105263157895,19
0.030303030303030304,0.2727272727272727,0.696969696969697,66
0.0,0.35714285714285715,0.6428571428571429,14
0.3333333333333333,0.1111111111111111,0.5555555555555556,9
0.0,0.375,0.625,8
nan,nan,nan,nan
0.03125,0.484375,0.484375,64
0.0,0.40350877192982454,0.5964912280701754,57
0.06,0.32,0.62,50
0.0,0.30434782608695654,0.6956521739130435,23
0.0,0.5,0.5,2
nan,nan,nan,nan
0.07317073170731707,0.3902439024390244,0.5365853658536586,41
0.05263157894736842,0.35526315789473684,0.5921052631578947,76
0.0,0.4,0.6,25
0.0,0.0,1.0,2
0.0,0.35,0.65,20
0.11764705882352941,0.29411764705882354,0.5882352941176471,17
nan,nan,nan,nan
0.05128205128205128,0.4358974358974359,0.5128205128205128,39
0.028037383177570093,0.3925233644859813,0.5794392523364486,107
nan,nan,nan,nan
0.125,0.25,0.625,8
0.0,0.2222222222222222,0.7777777777777778,9
0.04,0.32,0.64,25
0.06944444444444445,0.3611111111111111,0.5694444444444444,72
0.06896551724137931,0.4827586206896552,0.4482758620689655,29
0.0,0.36363636363636365,0.6363636363636364,11
0.0,0.0,1.0,1
0.03125,0.3958333333333333,0.5729166666666666,96
0.0,0.47058823529411764,0.5294117647058824,17
0.0,0.6666666666666666,0.3333333333333333,15
0.03571428571428571,0.3869047619047619,0.5773809523809523,168
0.0,0.35714285714285715,0.6428571428571429,28
0.0,0.6923076923076923,0.3076923076923077,13
0.0,0.25,0.75,16
