A,B,C,Total
nan,nan,nan,nan
1.0,0.0,0.0,1
1.0,0.0,0.0,3
0.0,1.0,0.0,3
nan,nan,nan,nan
0.0,1.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,3
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
0.0,1.0,0.0,1
0.0,1.0,0.0,2
0.0,1.0,0.0,5
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,1
0.7142857142857143,0.2857142857142857,0.0,7
nan,nan,nan,nan
0.6666666666666666,0.3333333333333333,0.0,3
1.0,0.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
0.16666666666666666,0.8333333333333334,0.0,12
1.0,0.0,0.0,1
0.0,1.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
0.0,1.0,0.0,2
nan,nan,nan,nan
0.6666666666666666,0.3333333333333333,0.0,3
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,5
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,1
nan,nan,nan,nan
0.0,1.0,0.0,4
0.0,1.0,0.0,3
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,4
nan,nan,nan,nan
0.3333333333333333,0.6666666666666666,0.0,3
nan,nan,nan,nan
1.0,0.0,0.0,4
0.8,0.2,0.0,5
0.0,1.0,0.0,5
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,1
nan,nan,nan,nan
1.0,0.0,0.0,7
1.0,0.0,0.0,3
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,6
1.0,0.0,0.0,3
1.0,0.0,0.0,2
1.0,0.0,0.0,4
0.0,1.0,0.0,2
1.0,0.0,0.0,1
0.0,1.0,0.0,1
nan,nan,nan,nan
0.0,1.0,0.0,1
0.6666666666666666,0.3333333333333333,0.0,3
0.0,1.0,0.0,1
nan,nan,nan,nan
0.6666666666666666,0.3333333333333333,0.0,3
0.0,1.0,0.0,1
nan,nan,nan,nan
0.625,0.375,0.0,8
nan,nan,nan,nan
1.0,0.0,0.0,1
nan,nan,nan,nan
0.8,0.2,0.0,5
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,3
0.8571428571428571,0.14285714285714285,0.0,7
0.0,1.0,0.0,1
nan,nan,nan,nan
0.0,1.0,0.0,1
nan,nan,nan,nan
0.0,1.0,0.0,3
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
nan,nan,nan,nan
0.0,1.0,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,2
nan,nan,nan,nan
0.5,0.5,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,5
0.0,1.0,0.0,4
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,1
nan,nan,nan,nan
1.0,0.0,0.0,2
0.3076923076923077,0.6923076923076923,0.0,13
nan,nan,nan,nan
0.7142857142857143,0.2857142857142857,0.0,7
0.0,1.0,0.0,2
nan,nan,nan,nan
0.4,0.6,0.0,5
1.0,0.0,0.0,1
1.0,0.0,0.0,3
0.8571428571428571,0.14285714285714285,0.0,7
0.75,0.25,0.0,4
nan,nan,nan,nan
0.0,1.0,0.0,2
0.375,0.625,0.0,8
nan,nan,nan,nan
0.0,1.0,0.0,1
0.5,0.5,0.0,2
0.0,1.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.6,0.2,0.2,5
0.3333333333333333,0.0,0.6666666666666666,3
1.0,0.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,4
0.0,1.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
0.3333333333333333,0.6666666666666666,0.0,3
nan,nan,nan,nan
nan,nan,nan,nan
0.6666666666666666,0.3333333333333333,0.0,3
nan,nan,nan,nan
0.0,1.0,0.0,1
0.0,1.0,0.0,4
0.0,1.0,0.0,1
0.4,0.6,0.0,5
0.25,0.75,0.0,4
0.0,1.0,0.0,1
0.2,0.8,0.0,5
1.0,0.0,0.0,1
0.0,1.0,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,3
1.0,0.0,0.0,2
1.0,0.0,0.0,1
1.0,0.0,0.0,4
nan,nan,nan,nan
0.0,1.0,0.0,1
0.0,1.0,0.0,3
0.625,0.375,0.0,8
nan,nan,nan,nan
1.0,0.0,0.0,3
nan,nan,nan,nan
0.0,1.0,0.0,2
0.0,1.0,0.0,2
nan,nan,nan,nan
1.0,0.0,0.0,9
nan,nan,nan,nan
0.7777777777777778,0.2222222222222222,0.0,9
nan,nan,nan,nan
nan,nan,nan,nan
0.3333333333333333,0.6666666666666666,0.0,9
nan,nan,nan,nan
0.0,1.0,0.0,1
0.0,1.0,0.0,2
1.0,0.0,0.0,3
0.0,1.0,0.0,3
0.08333333333333333,0.9166666666666666,0.0,12
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,1
1.0,0.0,0.0,1
nan,nan,nan,nan
0.5,0.5,0.0,14
0.3333333333333333,0.6666666666666666,0.0,3
0.0,1.0,0.0,5
1.0,0.0,0.0,2
nan,nan,nan,nan
0.0,1.0,0.0,3
0.6363636363636364,0.36363636363636365,0.0,11
0.0,1.0,0.0,2
0.0,1.0,0.0,2
nan,nan,nan,nan
0.4,0.6,0.0,5
1.0,0.0,0.0,3
1.0,0.0,0.0,3
0.0,1.0,0.0,2
1.0,0.0,0.0,2
nan,nan,nan,nan
1.0,0.0,0.0,3
0.0,1.0,0.0,2
nan,nan,nan,nan
1.0,0.0,0.0,1
0.7142857142857143,0.2857142857142857,0.0,7
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
0.2222222222222222,0.7777777777777778,0.0,9
nan,nan,nan,nan
1.0,0.0,0.0,1
nan,nan,nan,nan
0.16666666666666666,0.8333333333333334,0.0,6
0.5,0.5,0.0,4
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
nan,nan,nan,nan
0.6666666666666666,0.0,0.3333333333333333,3
0.0,1.0,0.0,1
1.0,0.0,0.0,3
0.3333333333333333,0.6666666666666666,0.0,3
1.0,0.0,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
0.2857142857142857,0.7142857142857143,0.0,7
1.0,0.0,0.0,1
0.6666666666666666,0.3333333333333333,0.0,3
1.0,0.0,0.0,1
0.5,0.5,0.0,2
0.3333333333333333,0.6666666666666666,0.0,3
0.6666666666666666,0.3333333333333333,0.0,3
nan,nan,nan,nan
0.2,0.8,0.0,5
0.0,1.0,0.0,1
0.0,0.0,1.0,2
nan,nan,nan,nan
0.0,1.0,0.0,4
1.0,0.0,0.0,3
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
1.0,0.0,0.0,1
nan,nan,nan,nan
1.0,0.0,0.0,4
0.3333333333333333,0.6666666666666666,0.0,6
nan,nan,nan,nan
0.0,1.0,0.0,4
nan,nan,nan,nan
0.6,0.4,0.0,5
0.0,1.0,0.0,1
1.0,0.0,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.5,0.5,0.0,6
0.0,1.0,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.4444444444444444,0.5555555555555556,0.0,9
nan,nan,nan,nan
1.0,0.0,0.0,2
nan,nan,nan,nan
0.0,1.0,0.0,7
nan,nan,nan,nan
0.25,0.75,0.0,4
0.4,0.6,0.0,5
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
1.0,0.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,1
nan,nan,nan,nan
0.2857142857142857,0.7142857142857143,0.0,7
nan,nan,nan,nan
1.0,0.0,0.0,3
1.0,0.0,0.0,3
1.0,0.0,0.0,1
nan,nan,nan,nan
0.42857142857142855,0.5714285714285714,0.0,7
0.3333333333333333,0.6666666666666666,0.0,3
0.3333333333333333,0.6666666666666666,0.0,3
0.3333333333333333,0.6666666666666666,0.0,3
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,5
0.5,0.5,0.0,2
1.0,0.0,0.0,1
0.0,1.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
0.25,0.75,0.0,4
1.0,0.0,0.0,3
0.0,1.0,0.0,1
0.0,1.0,0.0,2
0.8571428571428571,0.14285714285714285,0.0,7
0.0,1.0,0.0,2
nan,nan,nan,nan
1.0,0.0,0.0,1
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,3
nan,nan,nan,nan
0.0,1.0,0.0,1
0.0,1.0,0.0,5
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,3
0.0,1.0,0.0,5
0.0,1.0,0.0,4
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.16666666666666666,0.8333333333333334,0.0,6
nan,nan,nan,nan
0.3333333333333333,0.6666666666666666,0.0,3
nan,nan,nan,nan
0.0,1.0,0.0,1
nan,nan,nan,nan
0.0,1.0,0.0,1
0.5,0.5,0.0,2
nan,nan,nan,nan
1.0,0.0,0.0,2
nan,nan,nan,nan
0.3333333333333333,0.6666666666666666,0.0,6
0.0,1.0,0.0,1
1.0,0.0,0.0,1
0.0,1.0,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.0,1.0,0.0,4
nan,nan,nan,nan
0.0,1.0,0.0,1
nan,nan,nan,nan
0.5,0.5,0.0,2
nan,nan,nan,nan
0.6,0.4,0.0,5
nan,nan,nan,nan
nan,nan,nan,nan
0.75,0.25,0.0,4
nan,nan,nan,nan
1.0,0.0,0.0,3
1.0,0.0,0.0,2
nan,nan,nan,nan
nan,nan,nan,nan
1.0,0.0,0.0,1
0.42857142857142855,0.5714285714285714,0.0,7
0.2222222222222222,0.7777777777777778,0.0,9
nan,nan,nan,nan
nan,nan,nan,nan
0.2857142857142857,0.7142857142857143,0.0,7
nan,nan,nan,nan
1.0,0.0,0.0,4
nan,nan,nan,nan
0.0,1.0,0.0,2
