area,ne
-0.0005933316211859617,253
3.978898734020446e-05,37
-0.0001498737499145308,69
-0.00035019921849485024,270
-0.00033863749927565893,73
-0.0001050705045232413,28
-0.0004513207283607193,271
0.00021235886750058087,39
4.420444486215171e-06,24
0.0,0
-2.428198060710638e-05,144
0.00023137764197487227,117
-0.00041077927633680175,217
0.0003626300026022076,119
-4.905419824165274e-05,93
-3.920778799382759e-06,222
-1.0855626132819837e-06,164
0.0005365598096030546,232
-0.00021441182555722845,37
-1.05843640905785e-06,3
0.00030763784727666206,74
-0.00010375906537989791,118
-0.00020487213383722574,40
-1.845994637458396e-06,197
0.00021312469772220464,108
-3.419651291214823e-05,82
2.613892037632313e-08,2
2.428020411215125e-05,70
-0.00014549603122127912,160
-0.00022604199724633706,217
0.0004082729485504407,308
-0.00010305114032548776,57
0.0,1
0.0003404918930908064,234
-3.570064114549015e-05,287
0.0001593801887458127,109
-4.4907985044701096e-05,331
-0.00021229295710424584,118
0.0003400625691280749,55
1.745229500961669e-05,103
0.0002519837518241328,65
-0.00039757950819474395,151
-0.00012771143289199755,65
-2.2534894542356477e-05,114
-7.764359309805675e-05,9
0.00013314078529086105,25
5.345164096484315e-05,173
-0.00015520210781980529,67
0.000251721066422365,57
0.0,1
-0.00018336714558506498,122
-0.0002591567714683697,28
5.756959558490782e-06,110
-3.654777299576117e-05,243
0.0,0
1.8387031624190204e-05,70
-0.00021659794105188048,64
3.761886617201058e-05,30
-0.0004207537650983614,97
0.0,1
-5.478470480491347e-05,145
-5.3735101695550824e-05,160
0.00017158374037254132,215
0.0003484620829385419,73
0.00018348622774169788,144
1.718720655583952e-05,30
-8.561760794410224e-05,250
0.00015184324070134512,148
9.280568082818216e-05,59
-0.00021043583968239737,164
0.0003607923567920665,53
0.0003481525661392358,119
-0.0002517876182119764,28
-6.0822533502029854e-05,56
2.400107595211418e-05,417
-0.0004101005193906536,142
0.00015902693454642022,110
0.00018279751782829517,34
0.00028643691537307947,150
-4.104570243159668e-06,140
0.00014655355729749508,129
-0.00043078467111448747,65
0.000281567657889525,146
-4.505933045885598e-10,3
-2.3185008830249865e-06,10
0.00011334272895120963,17
-4.157372100605958e-05,13
-0.00019306803835193384,39
0.00011680554313283003,79
3.828051683129478e-07,4
-0.00015173016597531193,32
-4.9437969357860475e-05,69
0.00038126101273115015,163
4.23469047977137e-08,4
-0.00043658632939426234,94
4.471553353912867e-05,122
-0.00028189659903543097,197
-0.0002535454037719449,195
-5.655447522322616e-06,61
5.647629719474713e-05,10
area,ne
-0.0004060568555807364,128
-4.7864119162600144e-05,14
-0.000109907350956091,67
2.7519772323866344e-05,147
0.0004285267766368745,209
